Tous	HP:0000001#
Dislocation articulaire	HP:0001373#
Luxation congénitale de la hanche	HP:0001374#
Dislocation de la hanche depuis la naissance	HP:0001374#
Dislocation congénitale de la hanche	HP:0001374#
Luxations congénitales de la hanche	HP:0001374#
Anomalie congénitale de la hanche	HP:0001374#
Limitation de la mobilité des articulations	HP:0001376#
Limitation de la mobilité articulaire	HP:0001376#
Diminution de la mobilité des articulations	HP:0001376#
Mobilité limitée des articulations	HP:0001376#
Extension limitée des coudes	HP:0001377#
Extension limitée du coude	HP:0001377#
Limitation de l'extension du coude	HP:0001377#
Extension réduite du coude	HP:0001377#
Extension limitée de l'avant-bras	HP:0001377#
obsolète Maladie articulaire dégénérative	HP:0001379#
obsolète Laxité ligamentaire	HP:0001380#
Hypermobilité articulaire	HP:0001382#
Articulations flexibles	HP:0001382#
Hyperextensibilité des articulations	HP:0001382#
Articulation double	HP:0001382#
Mobilité accrue des articulations	HP:0001382#
Articulations extensibles	HP:0001382#
Anomalie de l'articulation de la hanche	HP:0001384#
Dysplasie de la hanche	HP:0001385#
Dysplasie congénitale de la hanche	HP:0001385#
Gonflement des articulations	HP:0001386#
Raideur articulaire	HP:0001387#
Laxité articulaire	HP:0001388#
Instabilité articulaire	HP:0001388#
Articulation lâche	HP:0001388#
Laxité ligamentaire articulaire	HP:0001388#
Laxité ligamentaire	HP:0001388#
Anomalie du foie	HP:0001392#
Maladie du foie	HP:0001392#
Cirrhose	HP:0001394#
Cirrhose hépatique	HP:0001394#
Cirrhose du foie	HP:0001394#
Fibrose hépatique	HP:0001395#
Cholestase	HP:0001396#
Stéatose hépatique	HP:0001397#
Foie gras	HP:0001397#
Infiltration graisseuse du foie	HP:0001397#
Stéatose	HP:0001397#
Insuffisance hépatique	HP:0001399#
obsolète Abcès hépatiques dus à une immunodéficience	HP:0001400#
Dysgénésie biliaire intrahépatique	HP:0001401#
Carcinome hépatocellulaire	HP:0001402#
Augmentation de l'incidence du carcinome hépatocellulaire	HP:0001402#
Augmentation du risque de carcinome hépatocellulaire	HP:0001402#
Stéatose hépatique macrovésiculaire	HP:0001403#
Stéatose macrovésiculaire	HP:0001403#
Nécrose hépatocellulaire	HP:0001404#
Mort des cellules hépatiques	HP:0001404#
Perte hépatocellulaire	HP:0001404#
Fibrose périportale	HP:0001405#
Cholestase intrahépatique	HP:0001406#
Kystes hépatiques	HP:0001407#
Prolifération des canaux biliaires	HP:0001408#
Hypertension portale	HP:0001409#
Diminution de la fonction hépatique	HP:0001410#
Dysfonctionnement hépatique	HP:0001410#
Dysfonctionnement hépatique, léger	HP:0001410#
Hépatite entérovirale	HP:0001412#
Cirrhose micronodulaire	HP:0001413#
Stéatose hépatique microvésiculaire	HP:0001414#
Stéatose microvésiculaire	HP:0001414#
Transmission liée au chromosome X	HP:0001417#
Forme liée à l'X	HP:0001417#
Transmission récessive liée au chromosome X	HP:0001419#
Forme récessive liée au chromosome X	HP:0001419#
Anomalie de la musculature de la main	HP:0001421#
Héritage dominant lié au chromosome X	HP:0001423#
Dominante liée au chromosome X	HP:0001423#
Hétérogène	HP:0001425#
Hétérogénéité.	HP:0001425#
Hétérogénéité	HP:0001425#
Hétérogène.	HP:0001425#
Hétérogénéité génétique	HP:0001425#
Héritage multifactoriel	HP:0001426#
Héritage mitochondrial	HP:0001427#
Mitochondrial	HP:0001427#
Mutation somatique	HP:0001428#
Anomalie de la musculature du mollet	HP:0001430#
Hépatosplénomégalie	HP:0001433#
Hypertrophie du foie et de la rate	HP:0001433#
Anomalie de la musculature de la ceinture scapulaire	HP:0001435#
Anomalie de la musculature de l'épaule	HP:0001435#
Anomalie de la musculature du pied	HP:0001436#
Anomalie de la musculature des membres inférieurs	HP:0001437#
Anomalie de la morphologie de l'abdomen	HP:0001438#
Anomalie de l'abdomen	HP:0001438#
Synostose métatarsienne	HP:0001440#
Fusion des métatarses	HP:0001440#
Synostose des os métatarsiens	HP:0001440#
Fusion des os longs des pieds	HP:0001440#
Anomalie de la musculature de la cuisse	HP:0001441#
Anomalie des muscles de la cuisse	HP:0001441#
Mosaïcisme somatique	HP:0001442#
Anomalie de la musculature du fessier	HP:0001443#
Anomalie des fessiers	HP:0001443#
Mutation autosomique dominante des cellules somatiques	HP:0001444#
Anomalie de la musculature de la ceinture de hanche	HP:0001445#
Anomalie de la musculature des membres supérieurs	HP:0001446#
Anomalie des muscles des membres supérieurs	HP:0001446#
Duplication des os métatarsiens	HP:0001449#
Duplication des os longs du pied	HP:0001449#
Transmission liée à l'axe Y	HP:0001450#
Syndrome autosomique dominant à gènes contigus	HP:0001452#
Anomalie de la partie supérieure du bras	HP:0001454#
Anomalie de la musculature de la partie supérieure du bras	HP:0001457#
Syndactylie des 1-3 orteils	HP:0001459#
1er-3e orteils palmés	HP:0001459#
Aplasie/hypoplasie de la musculature du squelette	HP:0001460#
Muscles squelettiques absents/petits	HP:0001460#
Muscles squelettiques absents ou sous-développés	HP:0001460#
Aplasie/Hypoplasie de la musculature de l'épaule	HP:0001464#
Muscles de l'épaule absents ou sous-développés	HP:0001464#
Muscles de l'épaule absents/petits	HP:0001464#
Amyotrophie de la musculature de l'épaule	HP:0001465#
Dégénérescence des muscles de l'épaule	HP:0001465#
Dégradation des muscles de l'épaule	HP:0001465#
Syndrome du gène contigu	HP:0001466#
Aplasie/Hypoplasie de la musculature des membres supérieurs	HP:0001467#
Muscles des membres supérieurs absents ou sous-développés	HP:0001467#
Muscles des membres supérieurs absents/petits	HP:0001467#
Aplasie/Hypoplasie impliquant la musculature du bras supérieur	HP:0001468#
Muscles du bras absents/petits	HP:0001468#
Muscles du bras absents ou sous-développés	HP:0001468#
Anomalie de la musculature du bassin	HP:0001469#
Maladie autosomique dominante limitée au sexe	HP:0001470#
Aplasie/Hypoplasie de la musculature du bassin	HP:0001471#
Muscles du bassin absents ou sous-développés	HP:0001471#
Muscles du bassin absents/petits	HP:0001471#
Prédisposition familiale	HP:0001472#
Ostéolyse du métatarse	HP:0001473#
Ostéolyse impliquant les os métatarsiens	HP:0001473#
Scapulae sclérotique	HP:0001474#
Maladie autosomique dominante limitée aux hommes	HP:0001475#
Retard de fermeture de la fontanelle antérieure	HP:0001476#
Fermeture retardée de la fontanelle antérieure	HP:0001476#
Fermeture tardive du point mou du crâne	HP:0001476#
Fermeture tardive des sutures du bregma	HP:0001476#
Fontanelle antérieure persistante	HP:0001476#
Fermeture tardive de la grande fontanelle antérieure	HP:0001476#
Fermeture tardive de la fontanelle antérieure	HP:0001476#
Élévation compensatoire du menton	HP:0001477#
Inclinaison compensatoire de la tête/élévation du menton	HP:0001477#
Taches de rousseur	HP:0001480#
Nodule sous-cutané	HP:0001482#
Nodules sous-cutanés multiples	HP:0001482#
Bosse ferme sous la peau	HP:0001482#
Nodule sous la peau	HP:0001482#
Nodules sous-cutanés	HP:0001482#
Piqûre des yeux	HP:0001483#
obsolète Fondi hypopigmenté	HP:0001487#
Ptosis bilatéral	HP:0001488#
Baisse des deux paupières supérieures	HP:0001488#
Décollement postérieur du vitré	HP:0001489#
Décollement du vitré	HP:0001489#
Fibrose congénitale des muscles extra-oculaires	HP:0001491#
CFEOM	HP:0001491#
Ophtalmoplégie congénitale	HP:0001491#
Anomalie d'Axenfeld	HP:0001492#
Pli rétinien falciforme	HP:0001493#
Pli rétinien congénital	HP:0001493#
Ostéolyse du carpe	HP:0001495#
Ostéolyse de l'os du carpe	HP:0001495#
Hypoplasie de l'os du carpe	HP:0001498#
Petits os du carpe	HP:0001498#
Petits carpiens	HP:0001498#
Petits os du poignet	HP:0001498#
Hypoplasie des os du carpe	HP:0001498#
Doigts larges	HP:0001500#
Doigt large	HP:0001500#
6 métacarpiens	HP:0001501#
6 os longs de la main	HP:0001501#
Ostéolyse des métacarpiens	HP:0001504#
Anomalie de croissance	HP:0001507#
Croissance anormale	HP:0001507#
Problème de croissance	HP:0001507#
Défaut de croissance	HP:0001508#
Perte de poids	HP:0001508#
Faible prise de poids	HP:0001508#
Croissance insuffisante	HP:0001508#
Retard de croissance postnatal	HP:0001508#
Retard de croissance	HP:0001510#
Mauvaise croissance	HP:0001510#
Défaut de croissance	HP:0001510#
Très mauvaise croissance	HP:0001510#
Retard de croissance intra-utérin	HP:0001511#
Retard de croissance d'origine prénatale	HP:0001511#
Nourrisson de petite taille pour l'âge gestationnel	HP:0001511#
Défaut de croissance prénatale	HP:0001511#
Retard de croissance in utero	HP:0001511#
Retard de croissance prénatal	HP:0001511#
IUGR	HP:0001511#
Retard de croissance intra-utérin, RCIU	HP:0001511#
Retard de croissance prénatale	HP:0001511#
Obésité	HP:0001513#
Avoir trop de graisse corporelle	HP:0001513#
Petite taille pour l'âge gestationnel	HP:0001518#
Faible poids de naissance	HP:0001518#
Poids de naissance inférieur au 10e percentile	HP:0001518#
Taille disproportionnée	HP:0001519#
Rapport réduit entre les segments supérieur et inférieur	HP:0001519#
Habitude corporelle marfanoïde	HP:0001519#
Dolichosténomélie	HP:0001519#
Habitus marfanoïde	HP:0001519#
Grand pour l'âge gestationnel	HP:0001520#
Poids de naissance > 90e percentile	HP:0001520#
Macrosomie, néonatale	HP:0001520#
Macrosomie fœtale	HP:0001520#
Macrosomie	HP:0001520#
Décès du nourrisson	HP:0001522#
Décès dans la petite enfance	HP:0001522#
Mort infantile	HP:0001522#
Défaillance grave de la croissance	HP:0001525#
Perte de poids sévère	HP:0001525#
Altération sévère du poids	HP:0001525#
Retard de croissance postnatal sévère	HP:0001525#
Retard de croissance marqué	HP:0001525#
Hémihypertrophie	HP:0001528#
Excroissance asymétrique	HP:0001528#
Hypertrophie asymétrique des membres	HP:0001528#
Retard de croissance postnatal léger	HP:0001530#
Déficit de croissance léger	HP:0001530#
Apparition postnatale d'un léger retard de croissance	HP:0001530#
Retard de croissance dans la petite enfance	HP:0001531#
Retard de croissance pendant la première année de vie	HP:0001531#
Perte de poids dans la petite enfance	HP:0001531#
Taille fine	HP:0001533#
Corps mince	HP:0001533#
Habitus asthénique	HP:0001533#
Corps svelte	HP:0001533#
Hernie ombilicale	HP:0001537#
Hernies ombilicales	HP:0001537#
Protubérance abdominale	HP:0001538#
Omphalocèle	HP:0001539#
Omphalocoele	HP:0001539#
Diastasis recti	HP:0001540#
Ascite	HP:0001541#
Accumulation de liquide dans l'abdomen	HP:0001541#
Gastroschisis	HP:0001543#
Ombilic proéminent	HP:0001544#
Bouton du ventre proéminent	HP:0001544#
Nombril proéminent	HP:0001544#
Anus placé antérieurement	HP:0001545#
Anus déplacé antérieurement	HP:0001545#
Antéposition de l'anus	HP:0001545#
Anomalie de la cage thoracique	HP:0001547#
Croissance excessive	HP:0001548#
Croissance excessive du fœtus	HP:0001548#
Excroissance généralisée	HP:0001548#
Surcroissance généralisée	HP:0001548#
Anomalie de l'iléon	HP:0001549#
Anomalie de l'ombilic	HP:0001551#
Ventre anormal	HP:0001551#
Anomalie du nombril	HP:0001551#
Ombilic anormal	HP:0001551#
Poitrine en forme de tonneau	HP:0001552#
Poitrine en tonneau	HP:0001552#
Asymétrie du thorax	HP:0001555#
Poitrine asymétrique	HP:0001555#
Anomalie des mouvements prénataux	HP:0001557#
Mouvements intra-utérins anormaux	HP:0001557#
Diminution des mouvements du fœtus	HP:0001558#
Diminution de l'activité fœtale	HP:0001558#
Hypokinésie fœtale	HP:0001558#
Diminution des mouvements in utero	HP:0001558#
Mouvements foetaux réduits	HP:0001558#
Réduction des mouvements du fœtus	HP:0001558#
Anomalie du liquide amniotique	HP:0001560#
Liquide amniotique anormal	HP:0001560#
Polyhydramnios	HP:0001561#
Hydramnios	HP:0001561#
Oligohydramnios	HP:0001562#
Oligohydramnios maternel	HP:0001562#
Polyurie fœtale	HP:0001563#
Incisives centrales maxillaires très espacées	HP:0001566#
Écart entre les dents antérieures supérieures	HP:0001566#
Diastème entre les incisives supérieures	HP:0001566#
Grand écart entre les incisives centrales supérieures	HP:0001566#
Séparation des incisives centrales supérieures	HP:0001566#
Écart entre les incisives centrales	HP:0001566#
Incisives centrales supérieures larges	HP:0001566#
Diastème entre les dents frontales supérieures	HP:0001566#
Diastème entre les incisives centrales maxillaires	HP:0001566#
Diastasis des incisives centrales	HP:0001566#
Incisives supérieures très espacées	HP:0001566#
Dents multiples incluses	HP:0001571#
Dents multiples enfouies	HP:0001571#
Dents multiples retenues	HP:0001571#
Dents incluses	HP:0001571#
Macrodontie	HP:0001572#
Grande dent	HP:0001572#
Augmentation de la largeur de la dent	HP:0001572#
Hyperplasie de la dent	HP:0001572#
Excès de masse de la dent	HP:0001572#
Augmentation de la taille de la dent	HP:0001572#
Hypertrophie de la dent	HP:0001572#
Dents de grande taille	HP:0001572#
Anomalie du tégument	HP:0001574#
Changements d'humeur	HP:0001575#
Humeur	HP:0001575#
Altérations de l'humeur	HP:0001575#
Hypercorticisme primaire	HP:0001579#
Hypercorsolemie indépendante de l'ACTH	HP:0001579#
Maladie micronodulaire pigmentée des glandes surrénales	HP:0001580#
Infections cutanées récurrentes	HP:0001581#
Infections cutanées	HP:0001581#
Peau redondante	HP:0001582#
Peau lâche et redondante	HP:0001582#
Plis de peau redondants	HP:0001582#
Peau affaissée et redondante	HP:0001582#
Nystagmus rotatif	HP:0001583#
Fistule vésicovaginale	HP:0001586#
obsolète Insuffisance ovarienne primaire	HP:0001587#
Thorax en forme de cloche	HP:0001591#
Thorax étroit, en forme de cloche	HP:0001591#
Thorax en forme de cloche, rétréci	HP:0001591#
Poitrine en forme de cloche	HP:0001591#
Agénésie sélective d'une dent	HP:0001592#
Agénésie d'une dent	HP:0001592#
Absence d'une dent	HP:0001592#
Échec du développement d'une dent	HP:0001592#
Microdontie de l'incisive latérale maxillaire	HP:0001593#
Diminution de la taille de l'incisive latérale supérieure	HP:0001593#
Incisive latérale supérieure hypotrophique	HP:0001593#
Incisive latérale maxillaire hypotrophique	HP:0001593#
Diminution de la taille de l'incisive latérale maxillaire	HP:0001593#
Diminution de la largeur de l'incisive latérale supérieure	HP:0001593#
Petite incisive latérale supérieure	HP:0001593#
Petite incisive latérale maxillaire	HP:0001593#
Anomalie des cheveux	HP:0001595#
Anomalie du cheveu	HP:0001595#
Anomalie de la tige du cheveu	HP:0001595#
Alopécie	HP:0001596#
Perte de cheveux	HP:0001596#
Anomalie de l'ongle	HP:0001597#
Maladie de l'ongle	HP:0001597#
Ongle concave	HP:0001598#
Ongles en forme de cuillère	HP:0001598#
Koilonychie	HP:0001598#
Anomalie du larynx	HP:0001600#
Anomalies du larynx	HP:0001600#
Laryngomalacie	HP:0001601#
Sténose du larynx	HP:0001602#
Parésie des cordes vocales	HP:0001604#
Voix rauque due à une parésie des cordes vocales	HP:0001604#
Parésie des cordes vocales dans les cas graves	HP:0001604#
Faiblesse des cordes vocales	HP:0001604#
Paralysie des cordes vocales	HP:0001605#
Paralysie du larynx	HP:0001605#
Incapacité de bouger les cordes vocales	HP:0001605#
obsolète Paralysie des cordes vocales (causée par un empiètement tumoral)	HP:0001606#
Sténose sous-glottique	HP:0001607#
Anomalie de la voix	HP:0001608#
Voix rauque	HP:0001609#
Voix nasale	HP:0001611#
Voix hypernasale	HP:0001611#
Cri faible	HP:0001612#
obsolète Voix rauque (causée par un empiètement de la tumeur)	HP:0001613#
Cri rauque	HP:0001615#
Dysphonie	HP:0001618#
Incapacité à produire des sons vocaux	HP:0001618#
Voix aiguë	HP:0001620#
Voix faible	HP:0001621#
Voix douce	HP:0001621#
Hypophonie	HP:0001621#
Naissance prématurée	HP:0001622#
Accouchement prématuré	HP:0001622#
Réduction de la durée de gestation	HP:0001622#
Accouchement prématuré des nourrissons concernés	HP:0001622#
Présentation par le siège	HP:0001623#
Présentation par le siège à la naissance	HP:0001623#
Anomalie du système cardiovasculaire	HP:0001626#
Anomalie du système cardio-vasculaire	HP:0001626#
Maladie cardiovasculaire	HP:0001626#
Anomalie de la morphologie cardiaque	HP:0001627#
Malformation cardiaque congénitale	HP:0001627#
Anomalie cardiaque	HP:0001627#
Anomalies cardiaques	HP:0001627#
Forme anormale du cœur	HP:0001627#
Anomalies cardiaques congénitales	HP:0001627#
Anomalie du cœur	HP:0001627#
Déviation septale ventriculaire	HP:0001629#
Défaut ventriculoseptal	HP:0001629#
Défauts septaux ventriculaires	HP:0001629#
Déviation du septum interauriculaire	HP:0001631#
TSA	HP:0001631#
Défaut du septum auriculaire	HP:0001631#
Anomalie de la morphologie de la valve mitrale	HP:0001633#
Anomalie de la valve mitrale	HP:0001633#
Prolapsus de la valve mitrale	HP:0001634#
Insuffisance cardiaque congestive	HP:0001635#
ICC	HP:0001635#
Insuffisance cardiaque	HP:0001635#
Défaillances cardiaques	HP:0001635#
Insuffisance cardiaque chronique	HP:0001635#
Tétralogie de Fallot	HP:0001636#
Anomalie de la morphologie du myocarde	HP:0001637#
Anomalie du myocarde	HP:0001637#
Cardiomyopathie	HP:0001638#
Cardiomyopathie hypertrophique	HP:0001639#
Cardiomégalie	HP:0001640#
Augmentation de la taille du cœur	HP:0001640#
Hypertrophie cardiaque	HP:0001640#
Anomalie de la morphologie de la valve pulmonaire	HP:0001641#
Anomalie de la valve pulmonaire	HP:0001641#
Sténose pulmonaire	HP:0001642#
Sténose de la valve pulmonaire	HP:0001642#
Rétrécissement de la valve pulmonaire	HP:0001642#
Perfectionnement du canal artériel	HP:0001643#
Persistance du canal artériel	HP:0001643#
Canal artériel	HP:0001643#
Conduit artériel persistant	HP:0001643#
Cardiomyopathie dilatée	HP:0001644#
Cardiomyopathie congestive	HP:0001644#
Mort cardiaque subite	HP:0001645#
Mort subite d'origine cardiaque	HP:0001645#
Mort cardiaque subite prématurée	HP:0001645#
Anomalie de la morphologie de la valve aortique	HP:0001646#
Anomalie de la valve aortique	HP:0001646#
Valve aortique bicuspide	HP:0001647#
Cor pulmonaire	HP:0001648#
Tachycardie	HP:0001649#
Fréquence cardiaque élevée	HP:0001649#
Accélération du rythme cardiaque	HP:0001649#
Augmentation de la fréquence cardiaque	HP:0001649#
Battement de cœur rapide	HP:0001649#
Fréquence cardiaque rapide	HP:0001649#
Sténose de la valve aortique	HP:0001650#
Sténose aortique	HP:0001650#
Sténose aortique valvulaire	HP:0001650#
Rétrécissement de la valve aortique	HP:0001650#
Dextrocardie	HP:0001651#
Situs inversus thoracique	HP:0001651#
Régurgitation mitrale	HP:0001653#
Régurgitation mitrale, légère	HP:0001653#
Insuffisance mitrale	HP:0001653#
Régurgitation de la valve mitrale	HP:0001653#
Incompétence mitrale	HP:0001653#
Insuffisance de la valve mitrale	HP:0001653#
Anomalie de la morphologie des valves cardiaques	HP:0001654#
Anomalie des valves cardiaques	HP:0001654#
Cardiopathie valvulaire	HP:0001654#
Anomalie valvulaire	HP:0001654#
Foramen ovale patenté	HP:0001655#
Allongement de l'intervalle QT	HP:0001657#
Syndrome du QT long	HP:0001657#
Intervalle QT prolongé à l'électrocardiogramme	HP:0001657#
Infarctus du myocarde	HP:0001658#
IM	HP:0001658#
Crise cardiaque	HP:0001658#
Régurgitation aortique	HP:0001659#
Régurgitation de la valve aortique	HP:0001659#
Insuffisance aortique	HP:0001659#
Truncus arteriosus	HP:0001660#
Truncus arteriosus persistant	HP:0001660#
Tronc artériel commun	HP:0001660#
Bradycardie	HP:0001662#
Battements de cœur lents	HP:0001662#
Brachycardie	HP:0001662#
Fibrillation ventriculaire	HP:0001663#
Torsade de pointes	HP:0001664#
Torsades de pointes	HP:0001664#
Hypertrophie du ventricule droit	HP:0001667#
Hypertrophie du ventricule droit du cœur	HP:0001667#
Transposition des grandes artères	HP:0001669#
Transposition des grands vaisseaux	HP:0001669#
Hypertrophie septale asymétrique	HP:0001670#
Morphologie anormale du septum cardiaque	HP:0001671#
Défauts septaux	HP:0001671#
Défaut du septum cardiaque	HP:0001671#
Anomalie des septa cardiaques	HP:0001671#
Tachycardie obsolète (avec phéochromocytome)	HP:0001673#
Défaut complet du canal auriculo-ventriculaire	HP:0001674#
Déviation complète du canal atrio-ventriculaire	HP:0001674#
Canal auriculo-ventriculaire	HP:0001674#
Canal AV commun complet	HP:0001674#
Canal auriculo-ventriculaire commun	HP:0001674#
obsolète Troubles du rythme associés au phéochromocytome	HP:0001675#
obsolète Palpitations (avec phéochromocytome)	HP:0001676#
Athérosclérose coronarienne	HP:0001677#
Athérosclérose coronaire	HP:0001677#
Accumulation de plaques dans les artères irriguant le cœur	HP:0001677#
Maladie coronarienne	HP:0001677#
Bloc auriculo-ventriculaire	HP:0001678#
Maladie du nœud auriculo-ventriculaire	HP:0001678#
Anomalie de la morphologie aortique	HP:0001679#
Anomalie de l'aorte	HP:0001679#
Morphologie anormale de l'aorte	HP:0001679#
Coarctation de l'aorte	HP:0001680#
Angine de poitrine	HP:0001681#
Sténose aortique subvalvulaire	HP:0001682#
Sténose sous-aortique	HP:0001682#
Ectopia cordis	HP:0001683#
Déviation du septum interauriculaire secundum	HP:0001684#
Ostium secundum patenté	HP:0001684#
Communication interauriculaire, type ostium secundum	HP:0001684#
Communication interauriculaire de type ostium secundum	HP:0001684#
Fibrose myocardique	HP:0001685#
Perte de la voix	HP:0001686#
Bradycardie sinusale	HP:0001688#
Sténose aortique musculaire sous-valvulaire	HP:0001691#
Sténose sous-aortique musculaire	HP:0001691#
Arythmie auriculaire	HP:0001692#
Arythmie auriculaire primaire	HP:0001692#
Shunt cardiaque	HP:0001693#
Shunt droite-gauche	HP:0001694#
Arrêt cardiaque	HP:0001695#
Situs inversus totalis	HP:0001696#
situs oppositus	HP:0001696#
Situs inversus	HP:0001696#
situs transversus	HP:0001696#
Anomalie de la morphologie du péricarde	HP:0001697#
Anomalie du péricarde	HP:0001697#
Épanchement péricardique	HP:0001698#
Épanchements péricardiques	HP:0001698#
Mort subite	HP:0001699#
Nécrose myocardique	HP:0001700#
Péricardite	HP:0001701#
Anomalie de la morphologie de la valve tricuspide	HP:0001702#
Anomalie de la valve tricuspide	HP:0001702#
Prolapsus de la valve tricuspide	HP:0001704#
Obstruction de la sortie du ventricule droit	HP:0001705#
Fibroélastose endocardique	HP:0001706#
Anomalie de la morphologie du ventricule droit	HP:0001707#
Anomalie du ventricule droit	HP:0001707#
Insuffisance ventriculaire droite	HP:0001708#
Insuffisance cardiaque droite	HP:0001708#
Déficience du ventricule droit	HP:0001708#
Altération de la fonction ventriculaire droite	HP:0001708#
Bloc auriculo-ventriculaire du troisième degré	HP:0001709#
Bloc cardiaque du troisième degré	HP:0001709#
Bloc cardiaque complet	HP:0001709#
Défaut de conotruncal	HP:0001710#
Défauts cardiaques conotronculaires	HP:0001710#
Anomalie de la morphologie du ventricule gauche	HP:0001711#
Anomalie du ventricule gauche	HP:0001711#
Anomalie de la morphologie du ventricule gauche du cœur	HP:0001711#
Hypertrophie du ventricule gauche	HP:0001712#
Hypertrophie de la paroi du ventricule gauche	HP:0001712#
Hypertrophie du ventricule gauche cardiaque	HP:0001712#
Anomalie de la morphologie du ventricule cardiaque	HP:0001713#
Anomalie du ventricule cardiaque	HP:0001713#
Hypertrophie ventriculaire	HP:0001714#
Syndrome de Wolff-Parkinson-White	HP:0001716#
Calcification de l'artère coronaire	HP:0001717#
Sténose mitrale	HP:0001718#
Sténose de la valve mitrale	HP:0001718#
Ventricule droit à double sortie	HP:0001719#
DORV	HP:0001719#
Insuffisance cardiaque congestive à haut débit	HP:0001722#
Cardiomyopathie restrictive	HP:0001723#
obsolète Dilatation aortique	HP:0001724#
obsolète Prévalence accrue de la maladie valvulaire	HP:0001726#
Accident vasculaire cérébral thromboembolique	HP:0001727#
Déficience auditive progressive	HP:0001730#
Perte progressive de l'audition	HP:0001730#
Anomalie du pancréas	HP:0001732#
Maladie du pancréas	HP:0001732#
Pancréatite	HP:0001733#
Inflammation du pancréas	HP:0001733#
Pancréas annulaire	HP:0001734#
Pancréatite aiguë	HP:0001735#
Inflammation aiguë du pancréas	HP:0001735#
Kystes pancréatiques	HP:0001737#
Kyste pancréatique	HP:0001737#
Kystes pancréatiques multiples	HP:0001737#
Insuffisance pancréatique exocrine	HP:0001738#
Insuffisance pancréatique	HP:0001738#
Anomalie du nasopharynx	HP:0001739#
Phimosis	HP:0001741#
Obstruction nasale	HP:0001742#
Obstruction du nez	HP:0001742#
Congestion du nez	HP:0001742#
Congestion nasale	HP:0001742#
Nez bouché	HP:0001742#
Blocage nasal	HP:0001742#
Anomalie de la rate	HP:0001743#
Splénomégalie	HP:0001744#
Augmentation de la taille de la rate	HP:0001744#
Asplénie	HP:0001746#
Absence de rate	HP:0001746#
Rate accessoire	HP:0001747#
Polysplénie	HP:0001748#
Rate accessoire	HP:0001748#
Multiple spleen accessoire	HP:0001748#
Ventricule simple	HP:0001750#
Ventricule commun	HP:0001750#
Dysfonctionnement vestibulaire	HP:0001751#
Défaut de la fonction vestibulaire	HP:0001751#
Altération de la fonction vestibulaire	HP:0001751#
Dysfonctionnement vestibulaire interictal	HP:0001751#
Hypofonction vestibulaire	HP:0001756#
Surdité de perception des hautes fréquences	HP:0001757#
Surdité neurosensorielle des aigus	HP:0001757#
Déficience auditive neurosensorielle des aigus	HP:0001757#
Surdité neurosensorielle de haute fréquence	HP:0001757#
Anomalie du pied	HP:0001760#
Morphologie anormale du pied	HP:0001760#
Déformations du pied	HP:0001760#
Déformation du pied	HP:0001760#
Pes cavus	HP:0001761#
Talipes equinovarus	HP:0001762#
Equinovarus	HP:0001762#
Pied, talipes equinovarus	HP:0001762#
Pied bot	HP:0001762#
Pes equinus	HP:0001762#
Pieds bots	HP:0001762#
Pes equinovarus	HP:0001762#
Pes planus	HP:0001763#
Pieds plats	HP:0001763#
Pied plat	HP:0001763#
Arches tombées	HP:0001763#
Orteil en marteau	HP:0001765#
Hammertoe	HP:0001765#
Pieds larges	HP:0001769#
Pied large	HP:0001769#
Syndactylie des orteils	HP:0001770#
Orteils soudés	HP:0001770#
Syndactylie des pieds	HP:0001770#
Orteils palmés	HP:0001770#
Contracture du tendon d'Achille	HP:0001771#
Raccourcissement du tendon d'Achille	HP:0001771#
Tendon d'Achille tendu	HP:0001771#
Contractures du tendon d'Achille	HP:0001771#
Talipes équinovalgus	HP:0001772#
Déformation équinovalgus	HP:0001772#
Pied court	HP:0001773#
Petits pieds	HP:0001773#
Pieds courts	HP:0001773#
Pieds hypoplasiques	HP:0001773#
Ostéovalgus tarsien	HP:0001775#
Talipes equinovarus bilatéraux	HP:0001776#
Pied bot bilatéral	HP:0001776#
Pied bot des deux côtés	HP:0001776#
Anomalie de l'orteil	HP:0001780#
Anomalies des orteils	HP:0001780#
Extrémités bulbeuses des orteils	HP:0001782#
Métatarse large	HP:0001783#
Tige métatarsienne élargie	HP:0001783#
Métatarses larges	HP:0001783#
Os long du pied élargi	HP:0001783#
Gonflement de la cheville	HP:0001785#
Pied étroit	HP:0001786#
Accouchement anormal	HP:0001787#
Complication de l'accouchement	HP:0001787#
Rupture prématurée des membranes	HP:0001788#
Hydrops fetalis	HP:0001789#
Hydrops fetalis non immunisé	HP:0001790#
Hydrops fetalis, non immunisé	HP:0001790#
Hydrops non immunisé	HP:0001790#
Ascite fœtale	HP:0001791#
Petit ongle	HP:0001792#
Ongle hypoplasique	HP:0001792#
Ongles hypoplasiques	HP:0001792#
Petits ongles	HP:0001792#
Hypoplasie de l'ongle	HP:0001792#
Ongle hyperconvexe	HP:0001795#
Surcourbure des ongles	HP:0001795#
Anonychie	HP:0001798#
Ongles absents	HP:0001798#
Ongles aplasiques	HP:0001798#
Ongle court	HP:0001799#
Ongles courts	HP:0001799#
Ongles de pied hypoplasiques	HP:0001800#
Ongles de pied sous-développés	HP:0001800#
Ongles de pied absents	HP:0001802#
Anonychie des ongles des pieds	HP:0001802#
Ongles de pied absents (anonychie)	HP:0001802#
Ongle de pied absent	HP:0001802#
Fosses des ongles	HP:0001803#
